Title,URL,Avg Score,Scores,Raise Count,Type,Meta Recommendation,Meta Confidence,Evidence
Diffusion Models Are Real-Time Game Engines,https://openreview.net/forum?id=P8pqeEkn1H,6.8,"[5, 5, 8, 8, 8]",1,Turnaround,N/A,N/A,"...post-rebuttal  based on the replies i am happy to increase my score and recommend acceptance. why do you start with a pre-trained text-to-image diffusion model, what are the motivations for doing so? ..."
RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,https://openreview.net/forum?id=yAzN4tz7oI,7,"[6, 6, 8, 8]",1,Turnaround,N/A,N/A,...l a good paper and i'm happy to accept it. i have updated my score....
Structure Language Models for Protein Conformation Generation,https://openreview.net/forum?id=OzUNDnpQyd,7,"[6, 6, 8, 8]",1,Turnaround,N/A,N/A,...thank you for answering my questions. i have raised my rating to 6. it would be good to have a more detailed discussion on the metrics in the next revision....
SoundCTM: Unifying Score-based and Consistency Models for Full-band Text-to-Sound Generation,https://openreview.net/forum?id=KrK6zXbjfO,7,"[6, 6, 8, 8]",1,Turnaround,N/A,N/A,...e authors claim to open-source the models. i will increase my score to 5....
Masked Diffusion Models are Secretly Time-Agnostic Masked Models and Exploit Inaccurate Categorical Sampling,https://openreview.net/forum?id=CTC7CmirNr,7,"[6, 6, 8, 8]",1,Turnaround,N/A,N/A,"...ey have verified all proofs)**, therefore i would increase my rating to 8 but keep a confidence of 3 **if the authors could address my final confusion in ""experimental validation of the proposed first..."
Exploring Local Memorization in Diffusion Models via Bright Ending Attention,https://openreview.net/forum?id=p4cLtzk4oe,7.33,"[6, 8, 8]",1,Turnaround,N/A,N/A,...ut the eos token in stable diffusion. therefore i raised my rating to accept....
Regularization by Texts for Latent Diffusion Inverse Solvers,https://openreview.net/forum?id=TtUh0TOlGX,7.33,"[6, 8, 8]",1,Turnaround,N/A,N/A,...hould be stronger. in light of this i am going to updated my scores and overall recommendation....
Enhancing Compositional Text-to-Image Generation with Reliable Random Seeds,https://openreview.net/forum?id=5BSlakturs,7.33,"[6, 8, 8]",1,Turnaround,N/A,N/A,...l interest most of our community if published.  i raised my rating....
RelitLRM: Generative Relightable Radiance for Large Reconstruction Models,https://openreview.net/forum?id=3Oli4u6q3p,7.33,"[6, 8, 8]",1,Turnaround,N/A,N/A,"...l.  most of my concerns have been addressed, so i raised my score and leaned toward acceptance.  some minor things: i noticed that the newly added illuminerf results were not referred to in the refere..."
Stem-OB: Generalizable Visual Imitation Learning with Stem-Like Convergent Observation through Diffusion Inversion,https://openreview.net/forum?id=xaYlO03tIk,7.5,"[6, 8, 8, 8]",1,Turnaround,N/A,N/A,"...ter checking the revised manuscript again, i have raised my score to accept.  there are two final comments that i want to put here in case that the paper is overall accepted, to hopefully help you imp..."
Diffusion-Based Planning for Autonomous Driving with Flexible Guidance,https://openreview.net/forum?id=wM2sfVgMDH,7.5,"[6, 8, 8, 8]",1,Turnaround,N/A,N/A,...sion. now i am satisfied with the paper  and have raised my score....
Reti-Diff: Illumination Degradation Image Restoration with Retinex-based Latent Diffusion Model,https://openreview.net/forum?id=kxFtMHItrf,7.5,"[6, 8, 8, 8]",1,Turnaround,N/A,N/A,"... addressed the authors address all my concerns. i raised my score to 8: accept, good paper...."
InverseBench: Benchmarking Plug-and-Play Diffusion Priors for Inverse Problems in Physical Sciences,https://openreview.net/forum?id=U3PBITXNG6,7.5,"[6, 8, 8, 8]",1,Turnaround,N/A,N/A,"... concerns are addressed. therefore, i am happy to increase my score to $8$...."
Comparing noisy neural population dynamics using optimal transport distances,https://openreview.net/forum?id=cNmu0hZ4CL,8,"[8, 8, 8]",1,Turnaround,N/A,N/A,...uded the analysis i asked for. i have accordingly raised my score.   ### minor points: - l046-l047: the phrasing makes it sound like both studies addressed stochasticity and dynamics. - l050: you don'...
RB-Modulation: Training-Free Stylization using Reference-Based Modulation,https://openreview.net/forum?id=bnINPG5A32,8,"[6, 8, 8, 10]",1,Turnaround,N/A,N/A,"...e addressed (or mostly addressed) now, and i will increase my score accordingly...."
IPDreamer: Appearance-Controllable 3D Object Generation with Complex Image Prompts,https://openreview.net/forum?id=3PguviI7Uf,5,"[3, 5, 6, 6]",0,Borderline/Controversial,N/A,N/A,
$InterLCM$: Low-Quality Images as Intermediate States of Latent Consistency Models for Effective Blind Face Restoration,https://openreview.net/forum?id=rUxr9Ll5FQ,5.2,"[3, 5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Storybooth: Training-Free Multi-Subject Consistency for Improved Visual Storytelling,https://openreview.net/forum?id=JZLon6cvx8,5.25,"[3, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
CFG++: Manifold-constrained Classifier Free Guidance for Diffusion Models,https://openreview.net/forum?id=E77uvbOTtp,5.25,"[1, 6, 6, 8]",0,Borderline/Controversial,N/A,N/A,
ScImage: How good are multimodal large language models at scientific text-to-image generation?,https://openreview.net/forum?id=ugyqNEOjoU,5.33,"[3, 5, 8]",0,Borderline/Controversial,N/A,N/A,
Dynamic Diffusion Transformer,https://openreview.net/forum?id=taHwqSrbrb,5.5,"[3, 5, 6, 8]",0,Borderline/Controversial,N/A,N/A,
NExT-Mol: 3D Diffusion Meets 1D Language Modeling for 3D Molecule Generation,https://openreview.net/forum?id=p66a00KLWN,5.5,"[3, 3, 8, 8]",0,Borderline/Controversial,N/A,N/A,
A Large-scale Training Paradigm for Graph Generative Models,https://openreview.net/forum?id=c01YB8pF0s,5.5,"[5, 5, 6, 6]",0,Borderline/Controversial,N/A,N/A,
FasterCache: Training-Free Video Diffusion Model Acceleration with High Quality,https://openreview.net/forum?id=W49UjcpGxx,5.5,"[5, 5, 6, 6]",0,Borderline/Controversial,N/A,N/A,
AvatarGO: Zero-shot 4D Human-Object Interaction Generation and Animation,https://openreview.net/forum?id=Trf0R8eoGF,5.5,"[3, 5, 6, 8]",0,Borderline/Controversial,N/A,N/A,
Continuous Diffusion for Mixed-Type Tabular Data,https://openreview.net/forum?id=QPtoBPn4lZ,5.5,"[5, 5, 6, 6]",0,Borderline/Controversial,N/A,N/A,
$\text{I}^2\text{AM}$: Interpreting Image-to-Image Latent Diffusion Models via Bi-Attribution Maps,https://openreview.net/forum?id=bBNUiErs26,5.6,"[5, 5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Diffusion Transformers for Tabular Data Time Series Generation,https://openreview.net/forum?id=bhOysNJvWm,5.67,"[5, 6, 6]",0,Borderline/Controversial,N/A,N/A,
DreamCatalyst: Fast and High-Quality 3D Editing via Controlling Editability and Identity Preservation,https://openreview.net/forum?id=FA5ZAJlv96,5.67,"[5, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Physics-Informed Diffusion Models,https://openreview.net/forum?id=tpYeermigp,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Fragment and Geometry Aware Tokenization of Molecules for Structure-Based Drug Design Using Language Models,https://openreview.net/forum?id=mMhZS7qt0U,5.75,"[3, 6, 6, 8]",0,Borderline/Controversial,N/A,N/A,
Text-to-Image Rectified Flow as Plug-and-Play Priors,https://openreview.net/forum?id=SzPZK856iI,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
CTSyn: A Foundation Model for Cross Tabular Data Generation,https://openreview.net/forum?id=Sh4FOyZRpv,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
DiffPC: Diffusion-based High Perceptual Fidelity Image Compression with Semantic Refinement,https://openreview.net/forum?id=RL7PycCtAO,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Erasing Concept Combination from Text-to-Image Diffusion Model,https://openreview.net/forum?id=OBjF5I4PWg,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
X-Drive: Cross-modality Consistent Multi-Sensor Data Synthesis for Driving Scenarios,https://openreview.net/forum?id=IEMmEd5Jgm,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Glauber Generative Model: Discrete Diffusion Models via Binary Classification,https://openreview.net/forum?id=HyjIEf90Tn,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Discrete Copula Diffusion,https://openreview.net/forum?id=FXw0okNcOb,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
LoRA-X: Bridging Foundation Models with Training-Free Cross-Model Adaptation,https://openreview.net/forum?id=6cQ6cBqzV3,5.75,"[3, 6, 6, 8]",0,Borderline/Controversial,N/A,N/A,
Preference Diffusion for Recommendation,https://openreview.net/forum?id=6GATHdOi1x,5.75,"[5, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
Improving Long-Text Alignment for Text-to-Image Diffusion Models,https://openreview.net/forum?id=2ZK8zyIt7o,5.75,"[3, 6, 6, 8]",0,Borderline/Controversial,N/A,N/A,
Diff-Prompt: Diffusion-Driven Prompt Generator with Mask Supervision,https://openreview.net/forum?id=LfghnrSJNg,5.8,"[3, 6, 6, 6, 8]",0,Borderline/Controversial,N/A,N/A,
Training-free Camera Control for Video Generation,https://openreview.net/forum?id=KI1zldOFz9,5.8,"[5, 6, 6, 6, 6]",0,Borderline/Controversial,N/A,N/A,
VideoShield: Regulating Diffusion-based Video Generation Models via Watermarking,https://openreview.net/forum?id=uzz3qAYy0D,6,"[3, 5, 6, 6, 8, 8]",0,Borderline/Controversial,N/A,N/A,
MotionDreamer: One-to-Many Motion Synthesis with Localized Generative Masked Transformer,https://openreview.net/forum?id=d23EVDRJ6g,6,"[3, 5, 8, 8]",0,Borderline/Controversial,N/A,N/A,
DoF: A Diffusion Factorization Framework for Offline Multi-Agent Reinforcement Learning,https://openreview.net/forum?id=OTFKVkxSlL,6,"[3, 5, 6, 8, 8]",0,Borderline/Controversial,N/A,N/A,
Generating  Graphs  via Spectral Diffusion,https://openreview.net/forum?id=AAXBfJNHDt,6,"[3, 5, 6, 8, 8]",0,Borderline/Controversial,N/A,N/A,
CLIPDrag: Combining Text-based and Drag-based Instructions for Image Editing,https://openreview.net/forum?id=2HjRezQ1nj,6,"[3, 5, 8, 8]",0,Borderline/Controversial,N/A,N/A,
VD3D: Taming Large Video Diffusion Transformers for 3D Camera Control,https://openreview.net/forum?id=0n4bS0R5MM,6.2,"[3, 6, 6, 8, 8]",0,Borderline/Controversial,N/A,N/A,
EdgeRunner: Auto-regressive Auto-encoder for Artistic Mesh Generation,https://openreview.net/forum?id=81cta3WQVI,6.5,"[3, 6, 6, 8, 8, 8]",0,Borderline/Controversial,N/A,N/A,
